Model,R2,Tuned_R2,R2_Improvement,RMSE,Tuned_RMSE,MAE,Tuned_MAE,Best_k
Random Forest Regression,0.9631669331086452,0.9617950289065952,-0.0013719042020500227,797.6028434683715,812.3210181958157,430.2350505952381,438.48599404761904,
Gradient Boosting Regression,0.9609589150366682,0.966298730960682,0.00533981592401378,821.1617127452329,762.9408697274123,454.6823672792746,416.49280450810886,
Support Vector Regression,-0.0897391087912691,0.9148031880139414,1.0045422968052105,4338.394304957834,1213.0520182198698,2670.464439299138,624.4021444764227,
KNN Regression,0.9095625468303632,0.9136191764029288,0.004056629572565584,1249.8040121021645,1221.4520506356127,679.4490476190475,680.5894557823129,7.0
